城市名,经度,纬度
安庆,117.059927,30.551273
蚌埠,117.371924,32.945583
亳州,115.791992,33.849319
滁州,118.315035,32.200054
阜阳,115.862909,32.916755
合肥,117.311941,31.887762
淮北,116.798367,33.968385
淮南,117.013995,32.632902
黄山,118.317128,29.724629
六安,116.495036,31.717103
马鞍山,118.49696,31.709504
铜陵,117.856729,30.921313
芜湖,118.391174,31.350224
宿州,116.989309,33.639963
宣城,118.768575,30.949245
北京,116.421034,39.902318
福州,119.315178,26.117115
龙岩,117.001526,25.098759
南平,118.172742,26.625661
宁德,119.579208,26.672751
莆田,119.057848,25.353479
泉州,118.562456,24.975919
三明,117.602622,26.243634
厦门,118.11118,24.470271
漳州,117.711063,24.460015
兰州,103.848899,36.035269
潮州,116.579882,23.641098
东莞,113.853979,23.090335
佛山,113.098416,23.049878
广州,113.252242,23.151582
河源,114.67854,23.762084
惠州,114.411621,23.154265
江门,113.097804,22.563665
揭阳,116.365121,23.572747
茂名,110.843485,21.683697
梅州,116.126468,24.261733
清远,113.12901,23.696526
汕头,116.750151,23.374581
汕尾,115.423704,22.813301
韶关,113.508943,24.753418
深圳,114.112069,22.534299
湛江,110.385913,21.189448
肇庆,112.442563,23.084038
中山,113.42776,22.546492
珠海,113.544287,22.218163
百色,106.660827,23.888555
北海,109.123971,21.455194
桂林,110.278209,25.263879
柳州,109.384492,24.310159
南宁,108.311197,22.829528
梧州,111.235483,23.489577
玉林,110.152361,22.600245
安顺,105.939362,26.232941
贵阳,106.699594,26.560252
铜仁,109.200042,27.743538
遵义,106.944361,27.706333
海口,110.158159,20.029411
三亚,109.488728,18.298039
保定,115.473619,38.862601
沧州,116.871827,38.308735
承德,117.948169,40.963724
邯郸,114.470723,36.603149
衡水,115.684974,37.743459
廊坊,116.702754,39.508367
秦皇岛,119.586383,39.963791
石家庄,114.478375,38.009798
唐山,118.113757,39.624298
邢台,114.486972,37.069338
安阳,114.334509,36.104631
焦作,113.228564,35.223366
开封,114.34715,34.771931
洛阳,112.429938,34.68662
漯河,114.036578,33.572329
南阳,112.506233,33.000431
平顶山,113.297906,33.720836
商丘,115.651356,34.444987
新乡,113.853652,35.306359
信阳,114.076359,32.130874
许昌,113.814932,34.021687
郑州,113.653617,34.747507
周口,114.660175,33.580795
驻马店,114.037764,32.980841
大庆,125.005451,46.596349
哈尔滨,126.626363,45.759174
鄂州,114.86154,30.365146
恩施,109.480752,30.35086
黄冈,114.93818,30.488649
黄石,114.935645,30.156579
荆州,112.207267,30.37229
十堰,110.776289,32.605774
武汉,114.418855,30.609377
咸宁,114.283475,29.882244
襄阳,112.148775,32.060025
孝感,113.923769,30.957413
常德,111.689446,29.074366
郴州,113.027642,25.811128
衡阳,112.625838,26.893414
怀化,109.962743,27.560605
娄底,112.000766,27.742841
邵阳,111.455568,27.216658
湘潭,112.907681,27.878751
益阳,112.389426,28.499887
永州,111.565697,26.457695
岳阳,113.114104,29.378943
长沙,113.007342,28.197261
株洲,113.150937,27.838655
吉林,126.571489,43.856443
长春,125.317664,43.909413
常州,119.968517,31.787233
淮安,119.027648,33.650154
连云港,119.157744,34.610028
南京,118.792979,32.089171
南通,120.855943,32.070411
苏州,120.606639,31.331858
泰州,119.975628,32.531063
无锡,120.300905,31.589036
徐州,117.201648,34.266624
盐城,120.169114,33.383938
扬州,119.345694,32.391555
镇江,119.427256,32.19914
抚州,116.349107,27.923144
赣州,114.959611,25.822298
吉安,115.015997,27.108538
景德镇,117.216553,29.288159
九江,116.000767,29.707202
南昌,115.914324,28.6654
上饶,118.002529,28.49349
宜春,114.432059,27.791506
鞍山,122.980738,41.11056
大连,121.627747,38.921575
丹东,124.38226,40.122888
锦州,121.135302,41.122228
盘锦,122.055806,41.195528
沈阳,123.38719,41.792687
营口,122.259814,40.684236
包头,109.830195,40.605048
赤峰,118.953314,42.254938
呼和浩特,111.65896,40.828977
银川,106.170211,38.491529
西宁,101.812152,36.619999
德州,116.282709,37.448598
东营,118.466466,37.454666
菏泽,115.500993,35.231181
济南,116.985049,36.670844
济宁,116.595649,35.392996
聊城,115.938627,36.456761
临沂,118.338316,35.037149
青岛,120.307452,36.064405
日照,119.527321,35.404078
泰安,117.104667,36.186781
威海,122.139552,37.425511
潍坊,119.092428,36.697027
烟台,121.377593,37.547565
枣庄,117.300557,34.780596
淄博,118.051104,36.788775
大同,113.296105,40.119055
晋城,112.867478,35.476159
晋中,112.636183,37.685703
临汾,111.531052,36.087206
吕梁,111.131474,37.567579
太原,112.581385,37.860021
运城,110.985117,35.026898
长治,113.06439,36.188478
宝鸡,107.148111,34.374091
汉中,107.025595,33.09172
渭南,109.488591,34.486148
西安,108.957995,34.278711
咸阳,108.730077,34.345274
榆林,109.714589,38.273206
上海,121.451047,31.25155
成都,104.070836,30.6997
达州,107.44848,31.200698
德阳,104.38739,31.168089
乐山,103.574525,29.752465
眉山,103.8105,30.067375
绵阳,104.714707,31.461407
南充,106.081673,30.809653
内江,105.034293,29.59067
宜宾,104.598754,28.754811
天津,117.203822,39.134632
拉萨,91.068697,29.625795
大理,100.248691,25.592044
昆明,102.720333,25.018769
曲靖,103.790433,25.529287
杭州,120.178407,30.245946
湖州,120.018333,30.865561
嘉兴,120.758917,30.766542
金华,119.631028,29.113206
丽水,119.949523,28.444819
宁波,121.532164,29.864087
衢州,118.876432,28.926414
绍兴,120.576019,30.016664
台州,121.285848,28.688904
温州,120.681014,27.98344
重庆,106.543764,29.552726
乌鲁木齐,87.580363,43.777985
张家口,114.876595,40.809232
红河,122.204368,43.416006
